no,name,category,city,address,place_id,rating,price,open hours,latitude,longitude,time_minutes,maps,user_id,url,deskripsi
1,Tribeca Park,park,Jakarta,"Letjen S. Parman No.28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",ChIJOQcPe1_2aS4RodErUdz2cfc,4.7,0,24 hours,-6.1772515,106.7904697,17,"https://www.google.com/maps/search/?api=1&query=-6.1773679,106.7906846",1,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F1.%20Tribeca%20Park%201.jpg?alt=media&token=527b3909-ba18-460a-a75e-ebaaf7a84427,Tribeca Park merupakan area terbuka ramai yang berada dekat dengan mall Central Park Taman ini terdiri banyak fasilitas mulai dari air mancur sampai kolam ikan koi. Selain itu pengunjung juga bisa menyaksikan event-event mingguan yang diadakan di sana.
2,Museum Perangko Indonesia,museum,Jakarta,"MWW2+8PC, Taman Mini Indonesia Indah, Jalan Taman Mini Indonesia Indah, Cipayung, RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820, Indonesia",ChIJPaQs81DtaS4RGVitRjnxIZQ,4.5,5000,08.00 am - 04.00 pm,-6.3041841,106.9017725,43,"https://www.google.com/maps/search/?api=1&query=-6.3025796,106.8957042",2,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F2.%20Museum%20Perangko%20Indonesia%202.jpg?alt=media&token=de0387ce-f09b-477e-8287-3e33a2ce6267,Kompleks museum filateli yang mengeksplorasi sejarah prangko Indonesia melalui karya seni & pameran.
3,Museum Layang-layang Indonesia,museum,Jakarta,"Jl. H. Kamang No.38, RT.8/RW.10, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450, Indonesia",ChIJjzzUACDuaS4Rc_mZHqCBRbA,4.5,15000,09.00 am - 04.00 pm,-6.3079851,106.7905852,39,"https://www.google.com/maps/search/?api=1&query=-6.3081545,106.7904049",3,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F3.%20Museum%20Layang-layang%20Indonesia%201.jpg?alt=media&token=e8f2cb97-32b2-4481-ad8d-dda69306856b,"Museum Layang-Layang Indonesia adalah sebuah museum yang terletak di Pondok Labu, Jakarta Selatan. Ini adalah museum layang-layang pertama di Indonesia. Koleksinya mencakup lebih dari 600 layang-layang."
4,Hutan Kota Srengseng,tourist_attraction,Jakarta,"Jl. H. Kelik, RT.8/RW.6, Srengseng, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",ChIJE7YGNy_3aS4RrCeV3DO5qhE,4.4,4000,07.00 am - 05.00 pm,-6.2106945,106.7643954,27,"https://www.google.com/maps/search/?api=1&query=-6.209808700000001,106.7601166",4,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F4.%20Hutan%20Kota%20Srengseng%201.jpg?alt=media&token=7969bce5-8685-440f-bde1-e7cc02ca9ef6,"Taman alam perkotaan yang luas dengan jalan setapak dari batu bata, peralatan bermain anak-anak & kolam besar."
5,Wisata Kota Tua Jakarta,tourist_attraction,Jakarta,"Kawasan Kota Tua, Taman Fatahillah No.1, RT.7/RW.7, Pinangsia, Taman Sari, West Jakarta City, Jakarta 11110, Indonesia",ChIJ7RcAlCrsaS4RM4GToNQSzt8,4.6,5000,08.00 am - 09.00 pm,-6.1350687,106.8136795,26,"https://www.google.com/maps/search/?api=1&query=-6.167430899999999,106.7637239",5,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F5.%20Wisata%20Kota%20Tua%20Jakarta.jpg?alt=media&token=5049d44e-b613-4f46-b508-1d76379e0725,"Kota tua Jakarta, Kota Tua berpusat di Alun-Alun Fatahillah, sebuah alun-alun yang ramai dengan pertunjukan tari tradisional secara berkala. Museum Sejarah Jakarta adalah bangunan zaman Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang menampilkan boneka kayu Jawa."
6,Museum Dunia Serangga,museum,Jakarta,"Jl. Hankam Raya No.39, RT.7/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820, Indonesia",ChIJq20OQ1vtaS4R6DNaT8eHd3Q,4.4,35000,08.00 am - 05.00 pm,-6.3057795,106.8954339,47,"https://www.google.com/maps/search/?api=1&query=-6.306729799999999,106.8956291",6,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F6.%20Museum%20Dunia%20Serangga%202.jpg?alt=media&token=7eb74474-1650-4da6-8c29-2214ef0e163b,"Diperkirakan sekitar 16% jumlah jenis serangga yang ada di dunia atau sekitar 250.000 yang hidup di Indonesia. Ada sekitar 600 jenis yang menjadi koleksi Museum Serangga, terdiri atas kupu-kupu yang berjumlah sekitar 250 jenis, kumbang sekitar 200 jenis, dan kelompok serangga lain sekitar 150 jenis."
7,Hutan Kota Kembangan Utara,park,Jakarta,"Jl. Hutan Kota No.11, RT.11/RW.5, Kedoya Utara, Kec. Kembangan, Jakarta, Daerah Khusus Ibukota Jakarta 11520, Indonesia",ChIJby43F6P3aS4RlaJEAUa5WCg,4.5,0,07.00 am - 09.00 pm,-6.170279,106.7510588,32,"https://www.google.com/maps/search/?api=1&query=-6.1819004,106.7536887",7,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F7.%20Hutan%20Kota%20Kembangan%20Utara%201.jpg?alt=media&token=79d0b7bb-f582-450c-9435-2cb80a7f673d,"Hutan Kota Kembangan Utara tampak rimbun dan teduh dipayungi beragam pepohonan besar. Selain menikmati rimbunnya pepohonan, di hutan kota ini, warga juga bisa berolahraga jalan santai sekaligus mengenalkan beragam jenis pohon yang ada di lokasi."
8,Old Town River,tourist_attraction,Jakarta,"Kota Tua, Jl. Kali Besar Tim. No.21, RT.7/RW.2, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",ChIJ96ScBDUdai4RX9GhTDqAThY,4.5,0,24 hours,-6.1348474,106.8115805,26,"https://www.google.com/maps/search/?api=1&query=-6.134392999999999,106.811641",8,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F8.%20Old%20Town%20River%202.jpg?alt=media&token=c1cc87fe-649a-4ac3-a86d-4776211b4bf0,"pusatnya di Alun-Alun Fatahillah, sebuah alun-alun yang ramai dengan pertunjukan tari tradisional secara berkala. Museum Sejarah Jakarta adalah bangunan zaman Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang menampilkan boneka kayu Jawa."
9,Museum Komodo Jagat Satwa Nusantara,museum,Jakarta,"MWW2+CCC, Jl. Taman Mini Indonesia Indah, RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820, Indonesia",ChIJR1W7hVDtaS4RDq02-3vC544,5,40000,09.00 am - 05.00 pm,-6.3039473,106.901011,47,"https://www.google.com/maps/search/?api=1&query=-6.3025796,106.8957042",9,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F9.%20Museum%20Komodo%20Jagat%20Satwa%20Nusantara%201.jpg?alt=media&token=63cf6509-645f-4f39-91f3-5a7f05aebe96,"Jagat Satwa Nusantara adalah konsep pengembangan dan revitasilasi tiga wahana di TMII, yakni Dunia Air Tawar & Dunia Serangga, Taman Burung, serta Museum Komodo dan Taman Reptil."
10,Kampung Main Cipulir,tourist_attraction,Jakarta,"Jl. Masjid Cidodol No.26, RT.5/RW.12, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia",ChIJW7irRGjxaS4RFgz6GOYSU0s,4.5,30000,08.00 am - 04.00 pm,-6.2322581,106.7667977,34,"https://www.google.com/maps/search/?api=1&query=-6.232091199999999,106.7687444",10,https://firebasestorage.googleapis.com/v0/b/lokis-project.appspot.com/o/Jakarta%2F10.%20Kampung%20Main%20Cipulir%201.jpg?alt=media&token=5fd6906f-bc8a-417f-b5d3-ad5720b16c57,wisata ini menyediakan berbagai macam kegiatan fisik untuk anak-anak sehingga anak-anak tidak hanya dapat melakukan kegiatan yang menyenangkan tetapi juga dapat belajar.
